Y_L(cm),	E(MeV),	YTheta_L(deg),	 A,	 dA,	 peL,	 dpeL,	 peR,	 dpeR
-60.00,	10.00,	-20.00,	-0.7051,	0.0018,	2.95,	0.02,	18.15,	0.04
-60.00,	10.00,	-15.00,	-0.6545,	0.0020,	3.40,	0.02,	17.54,	0.04
-60.00,	10.00,	-10.00,	-0.5688,	0.0022,	4.16,	0.02,	16.45,	0.04
-60.00,	10.00,	-7.50,	-0.5039,	0.0024,	4.71,	0.02,	15.73,	0.04
-60.00,	10.00,	-5.00,	-0.4390,	0.0025,	5.22,	0.02,	14.88,	0.04
-60.00,	10.00,	-2.50,	-0.3618,	0.0026,	5.82,	0.02,	14.00,	0.04
-60.00,	10.00,	0.00,	-0.2789,	0.0028,	6.39,	0.02,	12.95,	0.04
-60.00,	10.00,	2.50,	-0.1813,	0.0029,	6.99,	0.02,	11.74,	0.04
-60.00,	10.00,	5.00,	-0.0940,	0.0030,	7.41,	0.02,	10.57,	0.04
-60.00,	10.00,	7.50,	-0.0004,	0.0031,	7.83,	0.02,	9.40,	0.04
-60.00,	10.00,	10.00,	0.0858,	0.0031,	8.23,	0.02,	8.39,	0.04
-60.00,	10.00,	15.00,	0.2336,	0.0031,	8.80,	0.03,	6.65,	0.04
-60.00,	10.00,	20.00,	0.3388,	0.0030,	9.22,	0.03,	5.52,	0.03
-60.00,	10.00,	25.00,	0.4111,	0.0028,	9.49,	0.03,	4.75,	0.03
-60.00,	10.00,	30.00,	0.4661,	0.0027,	9.82,	0.03,	4.20,	0.03
-60.00,	10.00,	35.00,	0.4990,	0.0026,	10.16,	0.03,	3.89,	0.03
-60.00,	10.00,	40.00,	0.5342,	0.0025,	10.71,	0.03,	3.63,	0.02
-60.00,	10.00,	60.00,	0.6268,	0.0021,	13.91,	0.03,	3.32,	0.02
-60.00,	10.00,	80.00,	0.6918,	0.0022,	13.14,	0.04,	2.47,	0.02
-60.00,	50.00,	-80.00,	-0.9224,	0.0003,	7.76,	0.03,	191.61,	0.49
-60.00,	50.00,	-60.00,	-0.8960,	0.0006,	1.98,	0.01,	38.47,	0.15
-60.00,	50.00,	-40.00,	-0.8761,	0.0008,	1.00,	0.01,	14.38,	0.04
-60.00,	50.00,	-35.00,	-0.9016,	0.0008,	0.82,	0.01,	14.83,	0.04
-60.00,	50.00,	-30.00,	-0.9025,	0.0008,	0.84,	0.01,	15.25,	0.04
-60.00,	50.00,	-25.00,	-0.9255,	0.0006,	0.74,	0.01,	17.69,	0.03
-60.00,	50.00,	-20.00,	-0.9279,	0.0006,	0.79,	0.01,	19.43,	0.03
-60.00,	50.00,	-15.00,	-0.9299,	0.0007,	0.84,	0.01,	21.00,	0.03
-60.00,	50.00,	-10.00,	-0.8870,	0.0009,	1.30,	0.01,	20.20,	0.03
-60.00,	50.00,	-7.50,	-0.8080,	0.0012,	2.19,	0.02,	19.27,	0.03
-60.00,	50.00,	-5.00,	-0.6522,	0.0014,	4.05,	0.02,	18.47,	0.03
-60.00,	50.00,	-2.50,	-0.4751,	0.0015,	6.31,	0.02,	17.54,	0.03
-60.00,	50.00,	0.00,	-0.3340,	0.0015,	7.96,	0.02,	16.22,	0.03
-60.00,	50.00,	2.50,	-0.1976,	0.0017,	8.72,	0.02,	13.75,	0.03
-60.00,	50.00,	5.00,	0.0251,	0.0022,	9.01,	0.02,	9.71,	0.03
-60.00,	50.00,	7.50,	0.3409,	0.0024,	9.39,	0.02,	5.54,	0.03
-60.00,	50.00,	10.00,	0.5782,	0.0021,	9.77,	0.02,	3.20,	0.02
-60.00,	50.00,	15.00,	0.7807,	0.0016,	10.16,	0.02,	1.55,	0.02
-60.00,	50.00,	20.00,	0.8451,	0.0014,	9.81,	0.02,	1.06,	0.01
-60.00,	50.00,	25.00,	0.8404,	0.0015,	8.55,	0.02,	0.96,	0.02
-60.00,	50.00,	30.00,	0.8237,	0.0016,	7.14,	0.02,	0.91,	0.01
-60.00,	50.00,	35.00,	0.8229,	0.0016,	7.11,	0.02,	0.91,	0.02
-60.00,	50.00,	40.00,	0.8168,	0.0015,	7.76,	0.02,	0.97,	0.01
-60.00,	50.00,	60.00,	0.8687,	0.0009,	20.13,	0.08,	1.53,	0.02
-60.00,	50.00,	80.00,	0.8678,	0.0006,	81.93,	0.20,	5.98,	0.03
-60.00,	100.00,	-80.00,	-0.9238,	0.0002,	12.03,	0.05,	295.04,	0.91
-60.00,	100.00,	-60.00,	-0.8925,	0.0005,	1.85,	0.01,	33.46,	0.10
-60.00,	100.00,	-40.00,	-0.8791,	0.0008,	0.94,	0.01,	13.79,	0.04
-60.00,	100.00,	-35.00,	-0.9074,	0.0007,	0.77,	0.01,	14.70,	0.03
-60.00,	100.00,	-30.00,	-0.9032,	0.0007,	0.82,	0.01,	15.27,	0.03
-60.00,	100.00,	-25.00,	-0.9387,	0.0006,	0.64,	0.01,	18.16,	0.03
-60.00,	100.00,	-20.00,	-0.9223,	0.0006,	0.82,	0.01,	19.00,	0.03
-60.00,	100.00,	-15.00,	-0.9413,	0.0006,	0.72,	0.01,	21.64,	0.03
-60.00,	100.00,	-10.00,	-0.9255,	0.0007,	0.87,	0.01,	20.35,	0.03
-60.00,	100.00,	-7.50,	-0.8723,	0.0009,	1.41,	0.01,	19.27,	0.03
